account_value,date,daily_return,datadate
100000.0,2019-04-01,,2019-04-01
100401.4145163965,2019-04-02,0.004014145163965033,2019-04-02
101006.97810077187,2019-04-03,0.006031424828944809,2019-04-03
101750.77793079226,2019-04-04,0.007363845983772598,2019-04-04
101464.20839159547,2019-04-05,-0.0028163867149174626,2019-04-05
101323.98608521356,2019-04-08,-0.001381987881290292,2019-04-08
100737.41858351986,2019-04-09,-0.005789029077482244,2019-04-09
101268.07806198289,2019-04-10,0.0052677494214632406,2019-04-10
101808.49201072117,2019-04-11,0.005336468896027791,2019-04-11
101315.01035714569,2019-04-12,-0.004847156104851536,2019-04-12
101664.71474655348,2019-04-15,0.003451654282766503,2019-04-15
101271.72922932393,2019-04-16,-0.0038655055316806353,2019-04-16
101249.32629074877,2019-04-17,-0.00022121611574765776,2019-04-17
102211.18899955961,2019-04-18,0.00949994181737823,2019-04-18
101651.19928505633,2019-04-23,-0.005478751592506215,2019-04-23
101576.58863336305,2019-04-24,-0.0007339869299924918,2019-04-24
101412.29715838283,2019-04-25,-0.0016174147723470036,2019-04-25
101335.95991898909,2019-04-26,-0.0007527414478591954,2019-04-26
101703.36434632824,2019-04-29,0.003625607608916726,2019-04-29
102310.4568188815,2019-04-30,0.0059692467054082154,2019-04-30
100839.8712123661,2019-05-02,-0.014373756625080447,2019-05-02
100727.38255924273,2019-05-03,-0.0011155176198756056,2019-05-03
99210.90980816171,2019-05-06,-0.01505521847734981,2019-05-06
98489.09191525268,2019-05-07,-0.007275589895353152,2019-05-07
97712.46756035378,2019-05-08,-0.007885384460313616,2019-05-08
96637.09583572307,2019-05-09,-0.011005470964761677,2019-05-09
97693.10978561814,2019-05-10,0.010927625057050916,2019-05-10
97125.67826456006,2019-05-13,-0.0058083064640206405,2019-05-13
97449.80542808946,2019-05-14,0.003337193307896502,2019-05-14
97872.13317853387,2019-05-15,0.004333797780192272,2019-05-15
98929.98830932553,2019-05-16,0.010808542701955526,2019-05-16
98969.64116174156,2019-05-17,0.00040081731630303713,2019-05-17
98426.59474498207,2019-05-20,-0.005486999956602956,2019-05-20
99223.38761979516,2019-05-21,0.008095300633711,2019-05-21
99212.2101977485,2019-05-22,-0.00011264906706764943,2019-05-22
97302.38303464826,2019-05-23,-0.01924992054197361,2019-05-23
