Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,35.454262,38.286526,35.311626,38.266151,29.470760,1455695
2009-01-05,38.612541,39.509087,37.084339,38.357841,29.541384,2221770
2009-01-06,38.490288,44.185383,37.491859,43.543537,33.535149,4515852
2009-01-07,43.543537,46.681442,41.312363,42.219097,32.515121,4215446
2009-01-08,40.548264,42.096840,39.987923,41.577251,32.020805,2438709
2009-01-09,42.555302,42.789623,40.446384,41.027100,31.597105,2392929
2009-01-12,40.548264,41.546688,39.142319,39.509087,30.428019,1796095
2009-01-13,38.724609,39.101566,36.676823,38.469910,29.627682,3129648
2009-01-14,38.999687,39.244198,34.679974,35.658020,27.462099,4880769
2009-01-15,35.250500,36.605507,33.926060,34.669785,26.701006,6189331
2009-01-16,36.269299,37.430733,35.556141,36.310051,27.964268,5536362
2009-01-19,37.288101,37.665058,34.353954,34.741100,26.755934,2985500
2009-01-20,34.435459,36.147045,34.038128,34.822605,26.818705,3872637
2009-01-21,33.966812,36.839828,33.579666,35.474636,27.320871,6114438
2009-01-22,36.676823,37.389980,34.639217,34.730911,26.748087,4998761
2009-01-23,34.578091,34.883732,32.000526,33.630608,25.900684,5816389
2009-01-26,33.538914,36.676823,32.886883,36.595318,28.183962,6357354
2009-01-27,35.454262,37.797501,34.506775,37.695621,29.031364,7656607
2009-01-28,38.327278,41.485558,38.103142,41.139168,31.683420,6710643
2009-01-29,40.018486,40.517700,37.573364,38.164268,29.392292,5642221
2009-01-30,37.879005,39.172882,35.658020,36.075729,27.783798,6633189
2009-02-02,35.352379,36.625881,34.435459,36.096104,27.799490,3400730
2009-02-03,36.473061,37.491859,34.435459,37.104717,28.576275,4525918
2009-02-04,37.675243,41.424431,37.603928,40.874279,31.479416,7494806
2009-02-05,39.835102,42.524734,38.928371,42.239471,32.530819,6618138
2009-02-06,42.789623,45.835838,42.524734,44.969856,34.633621,8086640
2009-02-09,44.297447,45.499634,42.871128,45.020798,34.672855,4750125
